name: naca64a010
Re: 1.000000e+05
Ncrit: 9
AoA_eps: 3.000000
CL_eps: 0.543500
CD_eps: 1.414000e-02
AoA_lift: 7.000000
CL_lift: 0.726600
CD_lift: 4.073000e-02
 alpha	CL	CD	Cm
0.000000	-0.000000	0.021250	0.000000
1.000000	0.209300	0.020880	-0.023500
2.000000	0.429100	0.019110	-0.046800
3.000000	0.543500	0.014140	-0.039100
4.000000	0.534500	0.018330	-0.015800
5.000000	0.587600	0.022600	-0.005300
6.000000	0.668900	0.029430	0.001300
7.000000	0.726600	0.040730	0.011900
9.000000	0.542300	0.081120	0.027300
10.000000	0.518700	0.096690	0.025300
11.000000	0.496100	0.111840	0.020600
12.000000	0.496100	0.126790	0.017500
13.000000	0.509800	0.142160	0.014700
14.000000	0.504900	0.156380	0.006400
15.000000	0.518200	0.171330	-0.003100
16.000000	0.538200	0.184050	-0.015000
17.000000	0.564200	0.196670	-0.025400
18.000000	0.609700	0.215840	-0.031900
19.000000	0.615500	0.223950	-0.046600
20.000000	0.659800	0.245690	-0.052800
